2024-06-01,229000
2024-06-08,241000
2024-06-15,237000
2024-06-22,233000
2024-06-29,238000
2024-07-06,222000
2024-07-13,240000
2024-07-20,236000
2024-07-27,248000
2024-08-03,234000
2024-08-10,228000
2024-08-17,232000
2024-08-24,232000
2024-08-31,228000
2024-09-07,230000
2024-09-14,222000
2024-09-21,221000
2024-09-28,227000
2024-10-05,259000
2024-10-12,240000
2024-10-19,228000
2024-10-26,218000
2024-11-02,221000
2024-11-09,219000
2024-11-16,216000
2024-11-23,216000
2024-11-30,225000
2024-12-07,239000
2024-12-14,222000
2024-12-21,219000
2024-12-28,209000
2025-01-04,205000
2025-01-11,217000
2025-01-18,222000
2025-01-25,210000
2025-02-01,222000
2025-02-08,215000
2025-02-15,224000
2025-02-22,243000
2025-03-01,224000
2025-03-08,223000
2025-03-15,225000
2025-03-22,225000
2025-03-29,219000
2025-04-05,224000
2025-04-12,216000
2025-04-19,223000
2025-04-26,241000
2025-05-03,229000
2025-05-10,228000
2025-05-17,226000
2025-05-24,239000
2025-05-31,247000
